2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 33 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 34 with execution time 69 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 35 with execution time 72 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 36 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 37 with execution time 69 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 38 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 39 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 40 with execution time 70 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 41 with execution time 67 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 42 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 43 with execution time 64 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 44 with execution time 66 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 45 with execution time 73 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 46 with execution time 60 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 47 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 48 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 49 with execution time 66 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 50 with execution time 66 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 51 with execution time 61 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 52 with execution time 74 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 53 with execution time 73 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 54 with execution time 73 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 55 with execution time 71 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 56 with execution time 66 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 57 with execution time 63 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 58 with execution time 69 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 59 with execution time 67 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 60 with execution time 62 (s) generated.
2022/08/15 21:26:22 - simulation time       0 (s) : BasicTasksGenerator, Task 61 with execution time 73 (s) generated.
